Product_id,Razón bloqueo,Nombre producto
2665978,Tiene 2 SKU,
2729814,Tiene 2 SKU,
2729817,Tiene 2 SKU,
2729845,Tiene 2 SKU,
2853073,Tiene 2 SKU,
2853082,Tiene 2 SKU,
2853243,Tiene 2 SKU,
2853282,Tiene 2 SKU,
2853297,Tiene 2 SKU,
2860026,Tiene 2 SKU,
3026766,Tiene 2 SKU,
3133298,Tiene 2 SKU,
3133429,Tiene 2 SKU,
3215656,Tiene 2 SKU,
3215662,Tiene 2 SKU,
3215669,Tiene 2 SKU,
3238387,Tiene 2 SKU,
3238458,Tiene 2 SKU,
3318635,Tiene 2 SKU,
3334473,Tiene 2 SKU,
3359817,Tiene 2 SKU,
3360079,Tiene 2 SKU,
3360217,Tiene 2 SKU,
3410531,Tiene 2 SKU,
3492353,Tiene 2 SKU,
3508651,Tiene 2 SKU,
3813819,Tiene 2 SKU,
3813879,Tiene 2 SKU,
3813894,Tiene 2 SKU,
3813919,Tiene 2 SKU,
3814052,Tiene 2 SKU,
3876529,Tiene 2 SKU,
3876570,Tiene 2 SKU,
3975452,Tiene 2 SKU,
3975462,Tiene 2 SKU,
4015396,Tiene 2 SKU,
4015429,Tiene 2 SKU,
4015476,Tiene 2 SKU,
4015885,Tiene 2 SKU,
4182588,Tiene 2 SKU,
4194210,Tiene 2 SKU,
4290353,Tiene 2 SKU,
4290616,Tiene 2 SKU,
4736548,Tiene 2 SKU,
4900657,Tiene 3 SKU,
5044119,Brands,
5044119,Brands,
5042531,Brands,
5042532,Brands,
5042533,Brands,
5042534,Brands,
5042535,Brands,
5046055,Brands,
5046056,Brands,
5046057,Brands,
5046059,Brands,
5046060,Brands,
5041667,Brands,
5041670,Brands,
5042184,Brands,
5042184,Brands,
5042184,Brands,
5042184,Brands,
2527120,Brands,
2527261,Brands,
1582747,Brands,
5044627,Brands,
5044629,Brands,
5046055,Brands,
5046056,Brands,
5046057,Brands,
5046059,Brands,
5046060,Brands,
5069401,Brands,
5069401,Brands,
5086977,Brands,
5086978,Brands,
5086977,Brands,
5086978,Brands,
4576994,Brands,
4576994,Brands,
4576994,Brands,
5100859,Brands,
5101266,Brands,
5101267,Brands,
5111672,Brands,
5111672,Brands,
5111672,Brands,
5111672,Brands,
5114131,Brands,
5114132,Brands,
5114743,Brands,
5114743,Brands,
